Učitelství
Speciální pedagogika pro učitele
Speciální pedagogika (neučitelský obor)
Pedagogika volného času
Vychovatelství
Umělecko-pedagogický obor
Umění (neučitelský obor)
Tělesná výchova a sport (neučitelský obor)
Filologie (neučitelský obor)
Jiná neučitelská odborná specializace
